# SID Intervals for LFBO - Toulouse Blagnac
# Available SIDs: AMOLO, FINOT, FISTO, GAUDE, LACOU, LMB, MEN, MORIL, RIBOU
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 14L
LFBO,14L,AMOLO,AMOLO,2
LFBO,14L,AMOLO,FINOT,2
LFBO,14L,AMOLO,FISTO,2
LFBO,14L,AMOLO,GAUDE,2
LFBO,14L,AMOLO,LACOU,2
LFBO,14L,AMOLO,LMB,2
LFBO,14L,AMOLO,MEN,2
LFBO,14L,AMOLO,MORIL,2
LFBO,14L,AMOLO,RIBOU,2

LFBO,14L,FINOT,AMOLO,2
LFBO,14L,FINOT,FINOT,2
LFBO,14L,FINOT,FISTO,2
LFBO,14L,FINOT,GAUDE,2
LFBO,14L,FINOT,LACOU,2
LFBO,14L,FINOT,LMB,2
LFBO,14L,FINOT,MEN,2
LFBO,14L,FINOT,MORIL,2
LFBO,14L,FINOT,RIBOU,2

LFBO,14L,FISTO,AMOLO,2
LFBO,14L,FISTO,FINOT,2
LFBO,14L,FISTO,FISTO,2
LFBO,14L,FISTO,GAUDE,2
LFBO,14L,FISTO,LACOU,2
LFBO,14L,FISTO,LMB,2
LFBO,14L,FISTO,MEN,2
LFBO,14L,FISTO,MORIL,2
LFBO,14L,FISTO,RIBOU,2

LFBO,14L,GAUDE,AMOLO,2
LFBO,14L,GAUDE,FINOT,2
LFBO,14L,GAUDE,FISTO,2
LFBO,14L,GAUDE,GAUDE,2
LFBO,14L,GAUDE,LACOU,2
LFBO,14L,GAUDE,LMB,2
LFBO,14L,GAUDE,MEN,2
LFBO,14L,GAUDE,MORIL,2
LFBO,14L,GAUDE,RIBOU,2

LFBO,14L,LACOU,AMOLO,2
LFBO,14L,LACOU,FINOT,2
LFBO,14L,LACOU,FISTO,2
LFBO,14L,LACOU,GAUDE,2
LFBO,14L,LACOU,LACOU,2
LFBO,14L,LACOU,LMB,2
LFBO,14L,LACOU,MEN,2
LFBO,14L,LACOU,MORIL,2
LFBO,14L,LACOU,RIBOU,2

LFBO,14L,LMB,AMOLO,2
