# SID Intervals for LFLL - Saint-Exupery
# Available SIDs: ALURA, BELEP, BELUS, BUSIL, MABES, MADOT, MOKIP, MURRO, REPSI, RISOR, ROMAM
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 17L
LFLL,17L,ALURA,ALURA,2
LFLL,17L,ALURA,BELEP,2
LFLL,17L,ALURA,BELUS,2
LFLL,17L,ALURA,BUSIL,2
LFLL,17L,ALURA,MABES,2
LFLL,17L,ALURA,MADOT,2
LFLL,17L,ALURA,MOKIP,2
LFLL,17L,ALURA,MURRO,2
LFLL,17L,ALURA,REPSI,2
LFLL,17L,ALURA,RISOR,2
LFLL,17L,ALURA,ROMAM,2

LFLL,17L,BELEP,ALURA,2
LFLL,17L,BELEP,BELEP,2
LFLL,17L,BELEP,BELUS,2
LFLL,17L,BELEP,BUSIL,2
LFLL,17L,BELEP,MABES,2
LFLL,17L,BELEP,MADOT,2
LFLL,17L,BELEP,MOKIP,2
LFLL,17L,BELEP,MURRO,2
LFLL,17L,BELEP,REPSI,2
LFLL,17L,BELEP,RISOR,2
LFLL,17L,BELEP,ROMAM,2

LFLL,17L,BELUS,ALURA,2
LFLL,17L,BELUS,BELEP,2
LFLL,17L,BELUS,BELUS,2
LFLL,17L,BELUS,BUSIL,2
LFLL,17L,BELUS,MABES,2
LFLL,17L,BELUS,MADOT,2
LFLL,17L,BELUS,MOKIP,2
LFLL,17L,BELUS,MURRO,2
LFLL,17L,BELUS,REPSI,2
LFLL,17L,BELUS,RISOR,2
LFLL,17L,BELUS,ROMAM,2

LFLL,17L,BUSIL,ALURA,2
LFLL,17L,BUSIL,BELEP,2
LFLL,17L,BUSIL,BELUS,2
LFLL,17L,BUSIL,BUSIL,2
LFLL,17L,BUSIL,MABES,2
LFLL,17L,BUSIL,MADOT,2
LFLL,17L,BUSIL,MOKIP,2
LFLL,17L,BUSIL,MURRO,2
LFLL,17L,BUSIL,REPSI,2
LFLL,17L,BUSIL,RISOR,2
LFLL,17L,BUSIL,ROMAM,2

LFLL,17L,MABES,ALURA,2
LFLL,17L,MABES,BELEP,2
LFLL,17L,MABES,BELUS,2
LFLL,17L,MABES,BUSIL,2
LFLL,17L,MABES,MABES,2
LFLL,17L,MABES,MADOT,2
LFLL,17L,MABES,MOKIP,2
LFLL,17L,MABES,MURRO,2
LFLL,17L,MABES,REPSI,2
LFLL,17L,MABES,RISOR,2
LFLL,17L,MABES,ROMAM,2

LFLL,17L,MADOT,ALURA,2
LFLL,17L,MADOT,BELEP,2
LFLL,17L,MADOT,BELUS,2
LFLL,17L,MADOT,BUSIL,2
LFLL,17L,MADOT,MABES,2
LFLL,17L,MADOT,MADOT,2
LFLL,17L,MADOT,MOKIP,2
LFLL,17L,MADOT,MURRO,2
LFLL,17L,MADOT,REPSI,2
LFLL,17L,MADOT,RISOR,2
LFLL,17L,MADOT,ROMAM,2

LFLL,17L,MOKIP,ALURA,2
LFLL,17L,MOKIP,BELEP,2
LFLL,17L,MOKIP,BELUS,2
LFLL,17L,MOKIP,BUSIL,2
LFLL,17L,MOKIP,MABES,2
LFLL,17L,MOKIP,MADOT,2
LFLL,17L,MOKIP,MOKIP,2
LFLL,17L,MOKIP,MURRO,2
LFLL,17L,MOKIP,REPSI,2
LFLL,17L,MOKIP,RISOR,2
LFLL,17L,MOKIP,ROMAM,2

LFLL,17L,MURRO,ALURA,2
LFLL,17L,MURRO,BELEP,2
LFLL,17L,MURRO,BELUS,2
LFLL,17L,MURRO,BUSIL,2
LFLL,17L,MURRO,MABES,2
LFLL,17L,MURRO,MADOT,2
LFLL,17L,MURRO,MOKIP,2
LFLL,17L,MURRO,MURRO,2
LFLL,17L,MURRO,REPSI,2
LFLL,17L,MURRO,RISOR,2
LFLL,17L,MURRO,ROMAM,2

LFLL,17L,REPSI,ALURA,2
LFLL,17L,REPSI,BELEP,2
LFLL,17L,REPSI,BELUS,2
LFLL,17L,REPSI,BUSIL,2
LFLL,17L,REPSI,MABES,2
LFLL,17L,REPSI,MADOT,2
LFLL,17L,REPSI,MOKIP,2
LFLL,17L,REPSI,MURRO,2
LFLL,17L,REPSI,REPSI,2
LFLL,17L,REPSI,RISOR,2
