# SID Intervals for LFML - Marseille-Provence Airport
# Available SIDs: ETREK, FJR, LERGA, LUC, MADRA, MAMES, MTG, MTL, NASIK, SOSUR, TINOT, VATIR
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 13L
LFML,13L,ETREK,ETREK,3
LFML,13L,ETREK,FJR,3
LFML,13L,ETREK,LERGA,3
LFML,13L,ETREK,LUC,3
LFML,13L,ETREK,MADRA,3
LFML,13L,ETREK,MAMES,3
LFML,13L,ETREK,MTL,3
LFML,13L,ETREK,NASIK,3
LFML,13L,ETREK,SOSUR,3
LFML,13L,ETREK,TINOT,3
LFML,13L,ETREK,VATIR,3

LFML,13L,FJR,ETREK,3
LFML,13L,FJR,FJR,3
LFML,13L,FJR,LERGA,3
LFML,13L,FJR,LUC,3
LFML,13L,FJR,MADRA,3
LFML,13L,FJR,MAMES,3
LFML,13L,FJR,MTL,3
LFML,13L,FJR,NASIK,3
LFML,13L,FJR,SOSUR,3
LFML,13L,FJR,TINOT,3
LFML,13L,FJR,VATIR,3

LFML,13L,LERGA,ETREK,3
LFML,13L,LERGA,FJR,3
LFML,13L,LERGA,LERGA,3
LFML,13L,LERGA,LUC,3
LFML,13L,LERGA,MADRA,3
LFML,13L,LERGA,MAMES,3
LFML,13L,LERGA,MTL,3
LFML,13L,LERGA,NASIK,3
LFML,13L,LERGA,SOSUR,3
LFML,13L,LERGA,TINOT,3
LFML,13L,LERGA,VATIR,3

LFML,13L,LUC,ETREK,3
LFML,13L,LUC,FJR,3
LFML,13L,LUC,LERGA,3
LFML,13L,LUC,LUC,3
LFML,13L,LUC,MADRA,3
LFML,13L,LUC,MAMES,3
LFML,13L,LUC,MTL,3
LFML,13L,LUC,NASIK,3
LFML,13L,LUC,SOSUR,3
LFML,13L,LUC,TINOT,3
LFML,13L,LUC,VATIR,3

LFML,13L,MADRA,ETREK,3
LFML,13L,MADRA,FJR,3
LFML,13L,MADRA,LERGA,3
LFML,13L,MADRA,LUC,3
LFML,13L,MADRA,MADRA,3
LFML,13L,MADRA,MAMES,3
LFML,13L,MADRA,MTL,3
LFML,13L,MADRA,NASIK,3
LFML,13L,MADRA,SOSUR,3
LFML,13L,MADRA,TINOT,3
LFML,13L,MADRA,VATIR,3

LFML,13L,MAMES,ETREK,3
LFML,13L,MAMES,FJR,3
LFML,13L,MAMES,LERGA,3
LFML,13L,MAMES,LUC,3
LFML,13L,MAMES,MADRA,3
LFML,13L,MAMES,MAMES,3
LFML,13L,MAMES,MTL,3
LFML,13L,MAMES,NASIK,3
LFML,13L,MAMES,SOSUR,3
LFML,13L,MAMES,TINOT,3
LFML,13L,MAMES,VATIR,3

LFML,13L,MTL,ETREK,3
LFML,13L,MTL,FJR,3
LFML,13L,MTL,LERGA,3
LFML,13L,MTL,LUC,3
LFML,13L,MTL,MADRA,3
LFML,13L,MTL,MAMES,3
LFML,13L,MTL,MTL,3
LFML,13L,MTL,NASIK,3
LFML,13L,MTL,SOSUR,3
LFML,13L,MTL,TINOT,3
LFML,13L,MTL,VATIR,3

LFML,13L,NASIK,ETREK,3
LFML,13L,NASIK,FJR,3
LFML,13L,NASIK,LERGA,3
LFML,13L,NASIK,LUC,3
LFML,13L,NASIK,MADRA,3
LFML,13L,NASIK,MAMES,3
LFML,13L,NASIK,MTL,3
LFML,13L,NASIK,NASIK,3
LFML,13L,NASIK,SOSUR,3
LFML,13L,NASIK,TINOT,3
LFML,13L,NASIK,VATIR,3

LFML,13L,SOSUR,ETREK,3
LFML,13L,SOSUR,FJR,3
LFML,13L,SOSUR,LERGA,3
LFML,13L,SOSUR,LUC,3
LFML,13L,SOSUR,MADRA,3
LFML,13L,SOSUR,MAMES,3
LFML,13L,SOSUR,MTL,3
LFML,13L,SOSUR,NASIK,3
LFML,13L,SOSUR,SOSUR,3
LFML,13L,SOSUR,TINOT,3
LFML,13L,SOSUR,VATIR,3

LFML,13L,TINOT,ETREK,3
LFML,13L,TINOT,FJR,3
LFML,13L,TINOT,LERGA,3
LFML,13L,TINOT,LUC,3
LFML,13L,TINOT,MADRA,3
LFML,13L,TINOT,MAMES,3
LFML,13L,TINOT,MTL,3
LFML,13L,TINOT,NASIK,3
LFML,13L,TINOT,SOSUR,3
LFML,13L,TINOT,TINOT,3
LFML,13L,TINOT,VATIR,3

LFML,13L,VATIR,ETREK,3
LFML,13L,VATIR,FJR,3
LFML,13L,VATIR,LERGA,3
LFML,13L,VATIR,LUC,3
LFML,13L,VATIR,MADRA,3
LFML,13L,VATIR,MAMES,3
LFML,13L,VATIR,MTL,3
LFML,13L,VATIR,NASIK,3
LFML,13L,VATIR,SOSUR,3
LFML,13L,VATIR,TINOT,3
LFML,13L,VATIR,VATIR,3

## RWY 13R
LFML,13R,ETREK,ETREK,3
LFML,13R,ETREK,FJR,3
LFML,13R,ETREK,LERGA,3
LFML,13R,ETREK,LUC,3
LFML,13R,ETREK,MADRA,3
LFML,13R,ETREK,MAMES,3
LFML,13R,ETREK,MTL,3
LFML,13R,ETREK,NASIK,3
LFML,13R,ETREK,SOSUR,3
LFML,13R,ETREK,TINOT,3
LFML,13R,ETREK,VATIR,3

LFML,13R,FJR,ETREK,3
LFML,13R,FJR,FJR,3
LFML,13R,FJR,LERGA,3
LFML,13R,FJR,LUC,3
LFML,13R,FJR,MADRA,3
LFML,13R,FJR,MAMES,3
LFML,13R,FJR,MTL,3
LFML,13R,FJR,NASIK,3
LFML,13R,FJR,SOSUR,3
LFML,13R,FJR,TINOT,3
LFML,13R,FJR,VATIR,3

LFML,13R,LERGA,ETREK,3
LFML,13R,LERGA,FJR,3
LFML,13R,LERGA,LERGA,3
LFML,13R,LERGA,LUC,3
LFML,13R,LERGA,MADRA,3
