# SID Intervals for LFMN - Nice
# Available SIDs: BADOD, BASIP, BODRU, EPOLO, IRMAR, LANKO, LONSU, OKTET, PERUS, RUBAS, RUBIT, SODRI, TURIL, VAREK
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 04L
LFMN,04L,BADOD,BADOD,2
LFMN,04L,BADOD,BASIP,2
LFMN,04L,BADOD,BODRU,2
LFMN,04L,BADOD,EPOLO,2
LFMN,04L,BADOD,IRMAR,2
LFMN,04L,BADOD,LANKO,2
LFMN,04L,BADOD,LONSU,2
LFMN,04L,BADOD,OKTET,2
LFMN,04L,BADOD,PERUS,2
LFMN,04L,BADOD,RUBAS,2
LFMN,04L,BADOD,RUBIT,2
LFMN,04L,BADOD,SODRI,2
LFMN,04L,BADOD,TURIL,2
LFMN,04L,BADOD,VAREK,2

LFMN,04L,BASIP,BADOD,2
LFMN,04L,BASIP,BASIP,2
LFMN,04L,BASIP,BODRU,2
LFMN,04L,BASIP,EPOLO,2
LFMN,04L,BASIP,IRMAR,2
LFMN,04L,BASIP,LANKO,2
LFMN,04L,BASIP,LONSU,2
LFMN,04L,BASIP,OKTET,2
LFMN,04L,BASIP,PERUS,2
LFMN,04L,BASIP,RUBAS,2
LFMN,04L,BASIP,RUBIT,2
LFMN,04L,BASIP,SODRI,2
LFMN,04L,BASIP,TURIL,2
LFMN,04L,BASIP,VAREK,2

LFMN,04L,BODRU,BADOD,2
LFMN,04L,BODRU,BASIP,2
LFMN,04L,BODRU,BODRU,2
LFMN,04L,BODRU,EPOLO,2
LFMN,04L,BODRU,IRMAR,2
LFMN,04L,BODRU,LANKO,2
LFMN,04L,BODRU,LONSU,2
LFMN,04L,BODRU,OKTET,2
LFMN,04L,BODRU,PERUS,2
LFMN,04L,BODRU,RUBAS,2
LFMN,04L,BODRU,RUBIT,2
LFMN,04L,BODRU,SODRI,2
LFMN,04L,BODRU,TURIL,2
LFMN,04L,BODRU,VAREK,2

LFMN,04L,EPOLO,BADOD,2
LFMN,04L,EPOLO,BASIP,2
LFMN,04L,EPOLO,BODRU,2
LFMN,04L,EPOLO,EPOLO,2
LFMN,04L,EPOLO,IRMAR,2
LFMN,04L,EPOLO,LANKO,2
LFMN,04L,EPOLO,LONSU,2
LFMN,04L,EPOLO,OKTET,2
LFMN,04L,EPOLO,PERUS,2
LFMN,04L,EPOLO,RUBAS,2
LFMN,04L,EPOLO,RUBIT,2
LFMN,04L,EPOLO,SODRI,2
LFMN,04L,EPOLO,TURIL,2
LFMN,04L,EPOLO,VAREK,2

LFMN,04L,IRMAR,BADOD,2
LFMN,04L,IRMAR,BASIP,2
LFMN,04L,IRMAR,BODRU,2
LFMN,04L,IRMAR,EPOLO,2
LFMN,04L,IRMAR,IRMAR,2
LFMN,04L,IRMAR,LANKO,2
LFMN,04L,IRMAR,LONSU,2
LFMN,04L,IRMAR,OKTET,2
LFMN,04L,IRMAR,PERUS,2
LFMN,04L,IRMAR,RUBAS,2
LFMN,04L,IRMAR,RUBIT,2
LFMN,04L,IRMAR,SODRI,2
LFMN,04L,IRMAR,TURIL,2
LFMN,04L,IRMAR,VAREK,2

LFMN,04L,LANKO,BADOD,2
LFMN,04L,LANKO,BASIP,2
LFMN,04L,LANKO,BODRU,2
LFMN,04L,LANKO,EPOLO,2
LFMN,04L,LANKO,IRMAR,2
LFMN,04L,LANKO,LANKO,2
LFMN,04L,LANKO,LONSU,2
LFMN,04L,LANKO,OKTET,2
LFMN,04L,LANKO,PERUS,2
LFMN,04L,LANKO,RUBAS,2
LFMN,04L,LANKO,RUBIT,2
LFMN,04L,LANKO,SODRI,2
LFMN,04L,LANKO,TURIL,2
LFMN,04L,LANKO,VAREK,2

LFMN,04L,LONSU,BADOD,2
LFMN,04L,LONSU,BASIP,2
LFMN,04L,LONSU,BODRU,2
LFMN,04L,LONSU,EPOLO,2
LFMN,04L,LONSU,IRMAR,2
LFMN,04L,LONSU,LANKO,2
LFMN,04L,LONSU,LONSU,2
LFMN,04L,LONSU,OKTET,2
LFMN,04L,LONSU,PERUS,2
LFMN,04L,LONSU,RUBAS,2
LFMN,04L,LONSU,RUBIT,2
LFMN,04L,LONSU,SODRI,2
LFMN,04L,LONSU,TURIL,2
LFMN,04L,LONSU,VAREK,2

LFMN,04L,OKTET,BADOD,2
LFMN,04L,OKTET,BASIP,2
LFMN,04L,OKTET,BODRU,2
LFMN,04L,OKTET,EPOLO,2
LFMN,04L,OKTET,IRMAR,2
LFMN,04L,OKTET,LANKO,2
LFMN,04L,OKTET,LONSU,2
LFMN,04L,OKTET,OKTET,2
LFMN,04L,OKTET,PERUS,2
LFMN,04L,OKTET,RUBAS,2
LFMN,04L,OKTET,RUBIT,2
LFMN,04L,OKTET,SODRI,2
LFMN,04L,OKTET,TURIL,2
LFMN,04L,OKTET,VAREK,2

LFMN,04L,PERUS,BADOD,2
LFMN,04L,PERUS,BASIP,2
LFMN,04L,PERUS,BODRU,2
LFMN,04L,PERUS,EPOLO,2
LFMN,04L,PERUS,IRMAR,2
LFMN,04L,PERUS,LANKO,2
LFMN,04L,PERUS,LONSU,2
LFMN,04L,PERUS,OKTET,2
LFMN,04L,PERUS,PERUS,2
LFMN,04L,PERUS,RUBAS,2
LFMN,04L,PERUS,RUBIT,2
LFMN,04L,PERUS,SODRI,2
LFMN,04L,PERUS,TURIL,2
LFMN,04L,PERUS,VAREK,2

LFMN,04L,RUBAS,BADOD,2
LFMN,04L,RUBAS,BASIP,2
LFMN,04L,RUBAS,BODRU,2
LFMN,04L,RUBAS,EPOLO,2
LFMN,04L,RUBAS,IRMAR,2
LFMN,04L,RUBAS,LANKO,2
LFMN,04L,RUBAS,LONSU,2
LFMN,04L,RUBAS,OKTET,2
LFMN,04L,RUBAS,PERUS,2
LFMN,04L,RUBAS,RUBAS,2
LFMN,04L,RUBAS,RUBIT,2
LFMN,04L,RUBAS,SODRI,2
LFMN,04L,RUBAS,TURIL,2
LFMN,04L,RUBAS,VAREK,2

LFMN,04L,RUBIT,BADOD,2
LFMN,04L,RUBIT,BASIP,2
LFMN,04L,RUBIT,BODRU,2
LFMN,04L,RUBIT,EPOLO,2
