# SID Intervals for LFPG - Paris-CDG
# Available SIDs: AGOPA, ATREX, BAXIR, BUBLI, DORDI, ELCOB, ERIXU, LANVI, LGL, MONOT, NURMO, OKASI, OLZOM, OPALE, PILUL, RANUX
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,1

## RWY 09L
LFPG,09L,ATREX,ATREX,2
LFPG,09L,ATREX,DIKOL,1
LFPG,09L,ATREX,ELCOB,1
LFPG,09L,ATREX,NURMO,1
LFPG,09L,ATREX,OPALE,1
LFPG,09L,ATREX,RANUX,1

LFPG,09L,DIKOL,ATREX,1
LFPG,09L,DIKOL,DIKOL,2
LFPG,09L,DIKOL,ELCOB,1
LFPG,09L,DIKOL,NURMO,1
LFPG,09L,DIKOL,OPALE,1
LFPG,09L,DIKOL,RANUX,1

LFPG,09L,ELCOB,ATREX,1
LFPG,09L,ELCOB,DIKOL,1
LFPG,09L,ELCOB,ELCOB,2
LFPG,09L,ELCOB,NURMO,1
LFPG,09L,ELCOB,OPALE,1
LFPG,09L,ELCOB,RANUX,1

LFPG,09L,NURMO,ATREX,1
LFPG,09L,NURMO,DIKOL,1
LFPG,09L,NURMO,ELCOB,1
LFPG,09L,NURMO,NURMO,2
LFPG,09L,NURMO,OPALE,1
LFPG,09L,NURMO,RANUX,1

LFPG,09L,OPALE,ATREX,1
LFPG,09L,OPALE,DIKOL,1
LFPG,09L,OPALE,ELCOB,1
LFPG,09L,OPALE,NURMO,1
LFPG,09L,OPALE,OPALE,2
LFPG,09L,OPALE,RANUX,1

LFPG,09L,RANUX,ATREX,1
LFPG,09L,RANUX,DIKOL,1
LFPG,09L,RANUX,ELCOB,1
LFPG,09L,RANUX,NURMO,1
LFPG,09L,RANUX,OPALE,1
LFPG,09L,RANUX,RANUX,2

## RWY 09R
LFPG,09R,ATREX,ATREX,2
LFPG,09R,ATREX,DIKOL,1
LFPG,09R,ATREX,ELCOB,1
LFPG,09R,ATREX,NURMO,1
LFPG,09R,ATREX,OPALE,1
LFPG,09R,ATREX,RANUX,1

LFPG,09R,DIKOL,ATREX,1
LFPG,09R,DIKOL,DIKOL,2
LFPG,09R,DIKOL,ELCOB,1
LFPG,09R,DIKOL,NURMO,1
LFPG,09R,DIKOL,OPALE,1
LFPG,09R,DIKOL,RANUX,1

LFPG,09R,ELCOB,ATREX,1
LFPG,09R,ELCOB,DIKOL,1
LFPG,09R,ELCOB,ELCOB,2
LFPG,09R,ELCOB,NURMO,1
LFPG,09R,ELCOB,OPALE,1
LFPG,09R,ELCOB,RANUX,1

LFPG,09R,NURMO,ATREX,1
LFPG,09R,NURMO,DIKOL,1
LFPG,09R,NURMO,ELCOB,1
LFPG,09R,NURMO,NURMO,2
LFPG,09R,NURMO,OPALE,1
LFPG,09R,NURMO,RANUX,1

LFPG,09R,OPALE,ATREX,1
LFPG,09R,OPALE,DIKOL,1
LFPG,09R,OPALE,ELCOB,1
LFPG,09R,OPALE,NURMO,1
LFPG,09R,OPALE,OPALE,2
LFPG,09R,OPALE,RANUX,1

LFPG,09R,RANUX,ATREX,1
LFPG,09R,RANUX,DIKOL,1
LFPG,09R,RANUX,ELCOB,1
LFPG,09R,RANUX,NURMO,1
LFPG,09R,RANUX,OPALE,1
LFPG,09R,RANUX,RANUX,2

## RWY 27L
LFPG,27L,ATREX,ATREX,2
LFPG,27L,ATREX,DIKOL,1
LFPG,27L,ATREX,ELCOB,1
LFPG,27L,ATREX,NURMO,1
LFPG,27L,ATREX,OPALE,1
LFPG,27L,ATREX,RANUX,1

LFPG,27L,DIKOL,ATREX,1
LFPG,27L,DIKOL,DIKOL,2
LFPG,27L,DIKOL,ELCOB,1
LFPG,27L,DIKOL,NURMO,1
LFPG,27L,DIKOL,OPALE,1
LFPG,27L,DIKOL,RANUX,1

LFPG,27L,ELCOB,ATREX,1
LFPG,27L,ELCOB,DIKOL,1
LFPG,27L,ELCOB,ELCOB,2
LFPG,27L,ELCOB,NURMO,1
LFPG,27L,ELCOB,OPALE,1
LFPG,27L,ELCOB,RANUX,1

LFPG,27L,NURMO,ATREX,1
LFPG,27L,NURMO,DIKOL,1
LFPG,27L,NURMO,ELCOB,1
LFPG,27L,NURMO,NURMO,2
LFPG,27L,NURMO,OPALE,1
LFPG,27L,NURMO,RANUX,1

LFPG,27L,OPALE,ATREX,1
LFPG,27L,OPALE,DIKOL,1
LFPG,27L,OPALE,ELCOB,1
LFPG,27L,OPALE,NURMO,1
LFPG,27L,OPALE,OPALE,2
LFPG,27L,OPALE,RANUX,1

LFPG,27L,RANUX,ATREX,1
LFPG,27L,RANUX,DIKOL,1
LFPG,27L,RANUX,ELCOB,1
LFPG,27L,RANUX,NURMO,1
LFPG,27L,RANUX,OPALE,1
LFPG,27L,RANUX,RANUX,2

## RWY 27R
LFPG,27R,ATREX,ATREX,2
LFPG,27R,ATREX,DIKOL,1
LFPG,27R,ATREX,ELCOB,1
LFPG,27R,ATREX,NURMO,1
LFPG,27R,ATREX,OPALE,1
LFPG,27R,ATREX,RANUX,1

LFPG,27R,DIKOL,ATREX,1
LFPG,27R,DIKOL,DIKOL,2
LFPG,27R,DIKOL,ELCOB,1
LFPG,27R,DIKOL,NURMO,1
LFPG,27R,DIKOL,OPALE,1
LFPG,27R,DIKOL,RANUX,1

LFPG,27R,ELCOB,ATREX,1
LFPG,27R,ELCOB,DIKOL,1
LFPG,27R,ELCOB,ELCOB,2
LFPG,27R,ELCOB,NURMO,1
LFPG,27R,ELCOB,OPALE,1
LFPG,27R,ELCOB,RANUX,1

LFPG,27R,NURMO,ATREX,1
LFPG,27R,NURMO,DIKOL,1
LFPG,27R,NURMO,ELCOB,1
LFPG,27R,NURMO,NURMO,2
LFPG,27R,NURMO,OPALE,1
LFPG,27R,NURMO,RANUX,1

LFPG,27R,OPALE,ATREX,1
LFPG,27R,OPALE,DIKOL,1
LFPG,27R,OPALE,ELCOB,1
LFPG,27R,OPALE,NURMO,1
LFPG,27R,OPALE,OPALE,2
LFPG,27R,OPALE,RANUX,1

LFPG,27R,RANUX,ATREX,1
LFPG,27R,RANUX,DIKOL,1
LFPG,27R,RANUX,ELCOB,1
LFPG,27R,RANUX,NURMO,1
LFPG,27R,RANUX,OPALE,1
LFPG,27R,RANUX,RANUX,2

## RWY 08L
LFPG,08L,AGOPA,AGOPA,2
LFPG,08L,AGOPA,BAXIR,1
LFPG,08L,AGOPA,BUBLI,1
LFPG,08L,AGOPA,DORDI,1
LFPG,08L,AGOPA,ERIXU,1
LFPG,08L,AGOPA,LANVI,1
LFPG,08L,AGOPA,LGL,1
LFPG,08L,AGOPA,MONOT,1
LFPG,08L,AGOPA,OKASI,1
LFPG,08L,AGOPA,OLZOM,1
LFPG,08L,AGOPA,PILUL,1

LFPG,08L,BAXIR,AGOPA,1
LFPG,08L,BAXIR,BAXIR,2
LFPG,08L,BAXIR,BUBLI,1
LFPG,08L,BAXIR,DORDI,1
LFPG,08L,BAXIR,ERIXU,1
LFPG,08L,BAXIR,LANVI,1
LFPG,08L,BAXIR,LGL,1
LFPG,08L,BAXIR,MONOT,1
LFPG,08L,BAXIR,OKASI,1
LFPG,08L,BAXIR,OLZOM,1
LFPG,08L,BAXIR,PILUL,1

LFPG,08L,BUBLI,AGOPA,1
LFPG,08L,BUBLI,BAXIR,1
LFPG,08L,BUBLI,BUBLI,2
LFPG,08L,BUBLI,DORDI,1
LFPG,08L,BUBLI,ERIXU,1
LFPG,08L,BUBLI,LANVI,1
LFPG,08L,BUBLI,LGL,1
LFPG,08L,BUBLI,MONOT,1
LFPG,08L,BUBLI,OKASI,1
LFPG,08L,BUBLI,OLZOM,1
LFPG,08L,BUBLI,PILUL,1

LFPG,08L,DORDI,AGOPA,1
LFPG,08L,DORDI,BAXIR,1
LFPG,08L,DORDI,BUBLI,1
LFPG,08L,DORDI,DORDI,2
LFPG,08L,DORDI,ERIXU,1
LFPG,08L,DORDI,LANVI,1
LFPG,08L,DORDI,LGL,1
LFPG,08L,DORDI,MONOT,1
LFPG,08L,DORDI,OKASI,1
LFPG,08L,DORDI,OLZOM,1
LFPG,08L,DORDI,PILUL,1

LFPG,08L,ERIXU,AGOPA,1
LFPG,08L,ERIXU,BAXIR,1
LFPG,08L,ERIXU,BUBLI,1
LFPG,08L,ERIXU,DORDI,1
LFPG,08L,ERIXU,ERIXU,2
LFPG,08L,ERIXU,LANVI,1
LFPG,08L,ERIXU,LGL,1
LFPG,08L,ERIXU,MONOT,1
LFPG,08L,ERIXU,OKASI,1
LFPG,08L,ERIXU,OLZOM,1
LFPG,08L,ERIXU,PILUL,1

LFPG,08L,LANVI,AGOPA,1
LFPG,08L,LANVI,BAXIR,1
LFPG,08L,LANVI,BUBLI,1
LFPG,08L,LANVI,DORDI,1
LFPG,08L,LANVI,ERIXU,1
LFPG,08L,LANVI,LANVI,2
LFPG,08L,LANVI,LGL,1
LFPG,08L,LANVI,MONOT,1
LFPG,08L,LANVI,OKASI,1
LFPG,08L,LANVI,OLZOM,1
LFPG,08L,LANVI,PILUL,1

LFPG,08L,LGL,AGOPA,1
LFPG,08L,LGL,BAXIR,1
LFPG,08L,LGL,BUBLI,1
LFPG,08L,LGL,DORDI,1
LFPG,08L,LGL,ERIXU,1
LFPG,08L,LGL,LANVI,1
LFPG,08L,LGL,LGL,2
LFPG,08L,LGL,MONOT,1
LFPG,08L,LGL,OKASI,1
LFPG,08L,LGL,OLZOM,1
LFPG,08L,LGL,PILUL,1

LFPG,08L,MONOT,AGOPA,1
LFPG,08L,MONOT,BAXIR,1
LFPG,08L,MONOT,BUBLI,1
LFPG,08L,MONOT,DORDI,1
LFPG,08L,MONOT,ERIXU,1
LFPG,08L,MONOT,LANVI,1
LFPG,08L,MONOT,LGL,1
LFPG,08L,MONOT,MONOT,2
LFPG,08L,MONOT,OKASI,1
LFPG,08L,MONOT,OLZOM,1
LFPG,08L,MONOT,PILUL,1

LFPG,08L,OKASI,AGOPA,1
LFPG,08L,OKASI,BAXIR,1
LFPG,08L,OKASI,BUBLI,1
LFPG,08L,OKASI,DORDI,1
LFPG,08L,OKASI,ERIXU,1
LFPG,08L,OKASI,LANVI,1
LFPG,08L,OKASI,LGL,1
LFPG,08L,OKASI,MONOT,1
LFPG,08L,OKASI,OKASI,2
LFPG,08L,OKASI,OLZOM,1
LFPG,08L,OKASI,PILUL,1

LFPG,08L,OLZOM,AGOPA,1
LFPG,08L,OLZOM,BAXIR,1
LFPG,08L,OLZOM,BUBLI,1
LFPG,08L,OLZOM,DORDI,1
LFPG,08L,OLZOM,ERIXU,1
LFPG,08L,OLZOM,LANVI,1
LFPG,08L,OLZOM,LGL,1
LFPG,08L,OLZOM,MONOT,1
LFPG,08L,OLZOM,OKASI,1
LFPG,08L,OLZOM,OLZOM,2
LFPG,08L,OLZOM,PILUL,1

LFPG,08L,PILUL,AGOPA,1
