# SID Intervals for LFPO - Paris-Orly
# Available SIDs: 
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 02
LFPO,02,AGOPA,AGOPA,2
LFPO,02,AGOPA,ATREX,2
LFPO,02,AGOPA,BUBLI,2
LFPO,02,AGOPA,DIKOL,2
LFPO,02,AGOPA,DORDI,2
LFPO,02,AGOPA,ELCOB,2
LFPO,02,AGOPA,ERIXU,2
LFPO,02,AGOPA,LGL,2
LFPO,02,AGOPA,MONOT,2
LFPO,02,AGOPA,NURMO,2
LFPO,02,AGOPA,OKASI,2
LFPO,02,AGOPA,OLZOM,2
LFPO,02,AGOPA,OPALE,2
LFPO,02,AGOPA,PILUL,2

LFPO,02,ATREX,AGOPA,2
LFPO,02,ATREX,ATREX,2
LFPO,02,ATREX,BUBLI,2
LFPO,02,ATREX,DIKOL,2
LFPO,02,ATREX,DORDI,2
LFPO,02,ATREX,ELCOB,2
LFPO,02,ATREX,ERIXU,2
LFPO,02,ATREX,LGL,2
LFPO,02,ATREX,MONOT,2
LFPO,02,ATREX,NURMO,2
LFPO,02,ATREX,OKASI,2
LFPO,02,ATREX,OLZOM,2
LFPO,02,ATREX,OPALE,2
LFPO,02,ATREX,PILUL,2

LFPO,02,BUBLI,AGOPA,2
LFPO,02,BUBLI,ATREX,2
LFPO,02,BUBLI,BUBLI,2
LFPO,02,BUBLI,DIKOL,2
LFPO,02,BUBLI,DORDI,2
LFPO,02,BUBLI,ELCOB,2
LFPO,02,BUBLI,ERIXU,2
LFPO,02,BUBLI,LGL,2
LFPO,02,BUBLI,MONOT,2
LFPO,02,BUBLI,NURMO,2
LFPO,02,BUBLI,OKASI,2
LFPO,02,BUBLI,OLZOM,2
LFPO,02,BUBLI,OPALE,2
LFPO,02,BUBLI,PILUL,2

LFPO,02,DIKOL,AGOPA,2
LFPO,02,DIKOL,ATREX,2
LFPO,02,DIKOL,BUBLI,2
LFPO,02,DIKOL,DIKOL,2
LFPO,02,DIKOL,DORDI,2
LFPO,02,DIKOL,ELCOB,2
LFPO,02,DIKOL,ERIXU,2
LFPO,02,DIKOL,LGL,2
LFPO,02,DIKOL,MONOT,2
LFPO,02,DIKOL,NURMO,2
LFPO,02,DIKOL,OKASI,2
LFPO,02,DIKOL,OLZOM,2
